,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
2746,Alex Erickson,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2747,Isaiah Ford,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2748,Kendall Hinton,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2749,Tyler Mabry,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2750,Ty'Son Williams,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2751,Isaiah Zuber,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2752,James Washington,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2753,Anthony Gordon,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2754,Phillip Lindsay,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2755,Marquez Stevenson,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2756,Dontrell Hilliard,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2757,Jeremy Sprinkle,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2758,Bryan Edwards,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2759,Devin Asiasi,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2760,Racey McMath,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2761,KeeSean Johnson,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2762,Breshad Perriman,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2763,Malcolm Brown,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2764,T.J. Vasher,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2765,Derrick Gore,Wsh,RB,L 3-37,0,,,,,,,,,,,,,,,,,Buf,Home,9/26/2023
2766,David Blough,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2767,Jaret Patterson,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2768,William Fuller V,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2769,James O'Shaughnessy,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2770,Patrick Laird,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2771,Mike Thomas,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
